step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
2660,0.8655,0.069478,16.215858,0.000000,0.032113,4.500009,0.000000,0.185420,10.252335,0.000000
2680,0.872,0.069514,16.370522,0.000000,0.032870,4.313578,0.000000,0.186061,10.341995,0.000000
2700,0.8785,0.069798,16.467272,0.000000,0.032001,4.275534,0.000000,0.186189,10.342937,0.000000
2720,0.8851,0.070496,16.581451,0.000000,0.032190,4.461473,0.000000,0.186376,10.378955,0.000000
2740,0.8916,0.070989,16.712414,0.000000,0.032069,4.404555,0.000000,0.186770,10.449906,0.000000
2760,0.8981,0.070433,16.815262,0.000000,0.031878,4.333076,0.000000,0.186540,10.518347,0.000000
2780,0.9046,0.069460,16.985317,0.000000,0.031543,4.570776,0.000000,0.186687,10.587540,0.000000
2800,0.9111,0.068410,17.161188,0.000000,0.032406,4.662004,0.000000,0.186466,10.640875,0.000000
2820,0.9176,0.068363,17.285898,0.000000,0.031674,4.712212,0.000000,0.186872,10.685869,0.000000
2840,0.9241,0.069156,17.473776,0.000000,0.031405,4.609442,0.000000,0.187162,10.713358,0.000000
2860,0.9306,0.068625,17.656351,0.000000,0.032525,4.389277,0.000000,0.188149,10.754910,0.000000
2880,0.9371,0.069330,17.732918,0.000000,0.032644,4.403085,0.000000,0.188194,10.877877,0.000000
2900,0.9436,0.069119,17.926384,0.000000,0.032786,4.563358,0.000000,0.188299,10.918911,0.000000
2920,0.9501,0.069318,17.986494,0.000000,0.032994,4.641976,0.000000,0.189094,11.015335,0.000000
2940,0.9566,0.069513,18.119020,0.000000,0.032449,4.605689,0.000000,0.189301,11.083807,0.000000
2960,0.9631,0.069754,18.268259,0.000000,0.031944,4.760334,0.000000,0.189863,11.161275,0.000000
2980,0.9697,0.069126,18.387915,0.000000,0.031769,4.870806,0.000000,0.190389,11.192186,0.000000
3000,0.9762,0.069571,18.521946,0.000000,0.032425,4.867267,0.000000,0.190466,11.323232,0.000000
3020,0.9827,0.069963,18.642454,0.000000,0.032387,4.905739,0.000000,0.191026,11.349818,0.000000
3040,0.9892,0.070142,18.724915,0.000000,0.033151,4.821514,0.000000,0.191324,11.341779,0.000000
3060,0.9957,0.070551,18.831861,0.000000,0.032586,4.837797,0.000000,0.191773,11.432139,0.000000
3080,1.002,0.070779,18.837175,0.000000,0.032695,4.620207,0.000000,0.191887,11.509931,0.000000
3100,1.0085,0.069765,18.903715,0.000000,0.032638,4.500556,0.000000,0.192106,11.560681,0.000000
3120,1.015,0.070439,18.951063,0.000000,0.032674,4.447455,0.000000,0.192643,11.645954,0.000000
3140,1.0215,0.070861,18.988651,0.000000,0.031598,4.672602,0.000000,0.192469,11.699947,0.000000
3160,1.028,0.070473,18.995043,0.000000,0.032312,4.906365,0.000000,0.193339,11.768214,0.000000
3180,1.0345,0.069758,18.935869,0.000000,0.032924,5.082386,0.000000,0.192464,11.795259,0.000000
3200,1.041,0.070197,18.971111,0.000000,0.032456,5.120174,0.000000,0.192461,11.866703,0.000000
